isLong,bias1,bias2,prob
true,-1,-1,0.022537934760059924
true,-1,-5,0.028332088085328413
true,-1,5,0.017003626074541398
true,-1,1,0.0203518092176067
true,-1,0,0.010852628058648492
true,-5,-1,0.005511215955705356
true,-5,-5,0.008666083057633743
true,-5,5,0.003184590277330703
true,-5,1,0.004456368508605759
true,-5,0,0.0025021495535037324
true,5,-1,0.09343216627198936
true,5,-5,0.10326872818372737
true,5,5,0.08796745900532907
true,5,1,0.09059640349810497
true,5,0,0.04659299161977268
true,1,-1,0.04081532759477375
true,1,-5,0.04723089075542218
true,1,5,0.034458659426109484
true,1,1,0.03836275325258735
true,1,0,0.020063234567468963
true,0,-1,0.015582473466735079
true,0,-5,0.018671408795792217
true,0,5,0.01247989479058872
true,0,1,0.014390006536180097
true,0,0,0.0075919810551037525
false,-1,-1,0.002469310547771833
false,-1,-5,0.0009266928786739684
false,-1,5,0.007990288562615628
false,-1,1,0.003827615901825521
false,-1,0,0.0015620067569034125
false,-5,-1,0.00017761240688461135
false,-5,-5,0.00007025633399912739
false,-5,5,0.0005601904518089297
false,-5,1,0.00027073692916320996
false,-5,0,0.00011129944998787685
false,5,-1,0.018544855225114624
false,5,-5,0.006892162746845657
false,5,5,0.06060743861029178
false,5,1,0.028892466459012098
false,5,0,0.011762017119224656
false,1,-1,0.006698876513142055
false,1,-5,0.0024835144260363434
false,1,5,0.02191992948987237
false,1,1,0.010445216322263006
false,1,0,0.004250678866830282
false,0,-1,0.0021459494914736785
false,0,-5,0.0007990104685626465
false,0,5,0.0069905244737664156
false,0,1,0.0033384164220288622
false,0,0,0.0013600607772511868
