isLong,bias0,bias1,prob
true,1,1,0.010000000000000005
true,5,1,0.020000000000000004
true,0,1,0.010000000000000005
true,0,5,0.05
true,0,-5,0.06
true,5,5,0.020000000000000004
true,5,-5,0.21000000000000002
true,-5,-5,0.24
false,5,-5,0.029999999999999995
true,1,-5,0.029999999999999995
false,0,-5,0.020000000000000004
false,0,1,0.029999999999999995
false,-1,1,0.07999999999999999
true,-1,1,0.06
true,-1,-5,0.04000000000000001
false,-1,-1,0.020000000000000004
false,5,-1,0.020000000000000004
false,0,-1,0.020000000000000004
false,-5,-1,0.010000000000000005
true,-5,-1,0.010000000000000005
true,-5,1,0.010000000000000005
