isLong,bias1,bias2,prob
true,-1,-1,0.022143873759752804
true,-1,-5,0.038285570178412894
true,-1,5,0.008695971228264064
true,-1,1,0.015441359365588842
true,-1,0,0.009396308281335435
true,-5,-1,0.004427532126182973
true,-5,-5,0.007741016611855998
true,-5,5,0.0015660955854807613
true,-5,1,0.0030181576316864727
true,-5,0,0.0018614224394673644
true,5,-1,0.07799084240689633
true,5,-5,0.13143733075691377
true,5,5,0.03864751591944007
true,5,1,0.058077034934187526
true,5,0,0.03401696933527094
true,1,-1,0.0385880387501255
true,1,-5,0.06589099705233131
true,1,5,0.01700170381895415
true,1,1,0.027726121946903153
true,1,0,0.016578540174257177
true,0,-1,0.015104772275749676
true,0,-5,0.02595724830662862
true,0,5,0.006282072241233811
true,0,1,0.010686684162540223
true,0,0,0.006447864109572476
false,-1,-1,0.005667494754993663
false,-1,-5,0.004725034943995224
false,-1,5,0.01076923241454663
false,-1,1,0.006727919131839847
false,-1,0,0.0030988534717083863
false,-5,-1,0.0005289280313369048
false,-5,-5,0.0004672612359126863
false,-5,5,0.0009622945202544456
false,-5,1,0.0006147165735968078
false,-5,0,0.00028591115123342744
false,5,-1,0.032919195262742534
false,5,-5,0.027141246727699936
false,5,5,0.06304709247362345
false,5,1,0.039231476098316335
false,5,0,0.018037667840264674
false,1,-1,0.01404069595648641
false,1,-5,0.011545691984252716
false,1,5,0.026940895781053076
false,1,1,0.016748574255758243
false,1,0,0.007697317553061141
false,0,-1,0.004708901906135768
false,0,-5,0.0038907541546884298
false,0,5,0.009004974064456512
false,0,1,0.005607680669180205
false,0,0,0.002579145643828997
