isLong,bias1,bias2,prob
true,-1,-1,0.02361179142070918
true,-1,-5,0.0295147392758865
true,-1,5,0.0295147392758865
true,-1,1,0.02361179142070918
true,-1,0,0.011805895710354567
true,-5,-1,0.008014783643518352
true,-5,-5,0.010018479554398002
true,-5,5,0.010018479554398002
true,-5,1,0.008014783643518352
true,-5,0,0.004007391821759058
true,5,-1,0.07797863070131844
true,5,-5,0.09747328837664795
true,5,5,0.09747328837664795
true,5,1,0.07797863070131844
true,5,0,0.038989315350659214
true,1,-1,0.039684008880958986
true,1,-5,0.04960501110119869
true,1,5,0.04960501110119869
true,1,1,0.039684008880958986
true,1,0,0.019842004440479368
true,0,-1,0.01577072315993065
true,0,-5,0.019713403949913326
true,0,5,0.019713403949913326
true,0,1,0.01577072315993065
true,0,0,0.007885361579965309
false,-1,-1,0.003122820537934312
false,-1,-5,0.003903525672417886
false,-1,5,0.003903525672417886
false,-1,1,0.003122820537934312
false,-1,0,0.0015614102689671557
false,-5,-1,0.000187650519534466
false,-5,-5,0.0002345631494180823
false,-5,5,0.0002345631494180823
false,-5,1,0.000187650519534466
false,-5,0,0.00009382525976723316
false,5,-1,0.02004840588291883
false,5,-5,0.025060507353648516
false,5,5,0.025060507353648516
false,5,1,0.02004840588291883
false,5,0,0.010024202941459405
false,1,-1,0.008772507931728835
false,1,-5,0.010965634914661043
false,1,5,0.010965634914661043
false,1,1,0.008772507931728835
false,1,0,0.004386253965864413
false,0,-1,0.00280867732144802
false,0,-5,0.003510846651810022
false,0,5,0.003510846651810022
false,0,1,0.00280867732144802
false,0,0,0.0014043386607240124
