isLong,bias1,bias2,prob
true,-1,-1,0.022590456992599112
true,-1,-5,0.028238071240748838
true,-1,5,0.028238071240748838
true,-1,1,0.022590456992599112
true,-1,0,0.011295228496299329
true,-5,-1,0.008244868669779078
true,-5,-5,0.010306085837223967
true,-5,5,0.010306085837223967
true,-5,1,0.008244868669779078
true,-5,0,0.004122434334889444
true,5,-1,0.05974540365443961
true,5,-5,0.07468175456804957
true,5,5,0.07468175456804957
true,5,1,0.05974540365443961
true,5,0,0.029872701827219857
true,1,-1,0.034170855825540504
true,1,-5,0.04271356978192532
true,1,5,0.04271356978192532
true,1,1,0.034170855825540504
true,1,0,0.017085427912769804
true,0,-1,0.014288701583434201
true,0,-5,0.017860876979292797
true,0,5,0.017860876979292797
true,0,1,0.014288701583434201
true,0,0,0.007144350791717341
false,-1,-1,0.005900800139897573
false,-1,-5,0.0073760001748721165
false,-1,5,0.0073760001748721165
false,-1,1,0.005900800139897573
false,-1,0,0.002950400069948781
false,-5,-1,0.0006160251044285428
false,-5,-5,0.0007700313805356777
false,-5,5,0.0007700313805356777
false,-5,1,0.0006160251044285428
false,-5,0,0.00030801255221427136
false,5,-1,0.035769165925648216
false,5,-5,0.04471145740706019
false,5,5,0.04471145740706019
false,5,1,0.035769165925648216
false,5,0,0.01788458296282432
false,1,-1,0.013924526286065962
false,1,-5,0.01740565785758262
false,1,5,0.01740565785758262
false,1,1,0.013924526286065962
false,1,0,0.006962263143032931
false,0,-1,0.004749195818167557
false,0,-5,0.00593649477270944
false,0,5,0.00593649477270944
false,0,1,0.004749195818167557
false,0,0,0.002374597909083774
