isLong,bias1,bias2,prob
true,-1,-1,0.025204812438423672
true,-1,-5,0.032583284181641484
true,-1,5,0.017254208818594564
true,-1,1,0.022253288520540836
true,-1,0,0.012013313144944651
true,-5,-1,0.009352447747120525
true,-5,-5,0.014818509286793511
true,-5,5,0.005149942543163736
true,-5,1,0.00749373133024316
true,-5,0,0.004229674971132605
true,5,-1,0.07549062874371845
true,5,-5,0.08547755223041209
true,5,5,0.06607997189294401
true,5,1,0.07189453567763589
true,5,0,0.03733176816172994
true,1,-1,0.0386772137005339
true,1,-5,0.04638935603099488
true,1,5,0.02921552817899347
true,1,1,0.03538895101032133
true,1,0,0.018779524771117603
true,0,-1,0.015936378681113056
true,0,-5,0.019736925109315805
true,0,5,0.01147346361637562
true,0,1,0.014348899453878175
true,0,0,0.0076750684936424665
false,-1,-1,0.004127907984082378
false,-1,-5,0.0016972360141962336
false,-1,5,0.01211223953479818
false,-1,1,0.006125585503323266
false,-1,0,0.0025531337756678524
false,-5,-1,0.0004908331629287953
false,-5,-5,0.00021646757424435004
false,-5,5,0.0013932076606420177
false,-5,1,0.0007131310616332704
false,-5,0,0.0002999826115252176
false,5,-1,0.025198429229903188
false,5,-5,0.010223157510106674
false,5,5,0.07539798018212375
false,5,1,0.03771568379771018
false,5,0,0.015652678768929257
false,1,-1,0.009356211296879033
false,1,-5,0.0037877724806539407
false,1,5,0.027926800175475792
false,1,1,0.01399664326811489
false,1,0,0.005810966729326791
false,0,-1,0.0032332904642109455
false,0,-5,0.001316357311703082
false,0,5,0.009579818804642263
false,0,1,0.004820769691445538
false,0,0,0.0020047366704079995
