isLong,bias1,bias2,prob
true,-1,-1,0.026518799539620042
true,-1,-5,0.0348499906803165
true,-1,5,0.017213460869276952
true,-1,1,0.023122290149441754
true,-1,0,0.012567167502405236
true,-5,-1,0.012079650227165782
true,-5,-5,0.019228351140573415
true,-5,5,0.00647039597442787
true,-5,1,0.009628041147677853
true,-5,0,0.005450751372259987
true,5,-1,0.06563087034269363
true,5,-5,0.07567641566270418
true,5,5,0.0549779784974556
true,5,1,0.06177795890910332
true,5,0,0.032274916959567496
true,1,-1,0.03741278793380008
true,1,-5,0.04580726836715984
true,1,5,0.02660821160488776
true,1,1,0.03373322737870018
true,1,0,0.018042644970623238
true,0,-1,0.016037776247006443
true,0,-5,0.020244264751698667
true,0,5,0.01089892839221985
true,0,1,0.014241393529983961
true,0,0,0.007674619988518217
false,-1,-1,0.00525451740555315
false,-1,-5,0.0022606273874102843
false,-1,5,0.014624438127268059
false,-1,1,0.0076275571907368145
false,-1,0,0.003213798969074755
false,-5,-1,0.0008018523249896482
false,-5,-5,0.0003738081395655087
false,-5,5,0.002150174308154839
false,-5,1,0.0011369658237906698
false,-5,0,0.00048395159763115413
false,5,-1,0.028295837779672536
false,5,-5,0.011986009725530457
false,5,5,0.08097043761833224
false,5,1,0.041543095305054394
false,5,0,0.01740307898565521
false,1,-1,0.010878619404604495
false,1,-5,0.004599982862370486
false,1,5,0.030913462379494678
false,1,1,0.015939301284458942
false,1,0,0.006685249294360763
false,0,-1,0.003910445808832244
false,0,-5,0.001664071253213667
false,0,5,0.011009407612692028
false,0,1,0.005706828525853879
false,0,0,0.0023983187464119613
