isLong,bias0,bias1,prob
true,-1,5,0.09000000000000002
true,1,5,0.029999999999999995
true,-5,5,0.020000000000000004
true,5,5,0.029999999999999995
true,5,-5,0.11000000000000001
true,0,-5,0.07999999999999999
true,1,-5,0.10000000000000002
true,1,1,0.020000000000000004
true,0,1,0.010000000000000005
true,0,-1,0.04000000000000001
false,0,-5,0.12000000000000001
false,1,-5,0.15999999999999998
false,1,0,0.07999999999999999
false,1,5,0.029999999999999995
false,1,-1,0.04000000000000001
false,5,-5,0.04000000000000001
