isLong,bias0,bias1,prob
false,0,-5,0.05
false,5,-5,0.14
true,5,-5,0.029999999999999995
false,-5,-5,0.029999999999999995
false,1,-5,0.029999999999999995
true,1,-5,0.06
true,1,0,0.04000000000000001
true,0,0,0.04000000000000001
true,-5,0,0.010000000000000005
true,5,0,0.010000000000000005
false,5,0,0.17
false,-5,0,0.010000000000000005
false,5,5,0.029999999999999995
false,1,5,0.13
false,1,1,0.029999999999999995
true,1,1,0.010000000000000005
false,-1,1,0.029999999999999995
false,-1,5,0.020000000000000004
false,-5,5,0.06
true,1,5,0.029999999999999995
true,5,5,0.04000000000000001
