0,1,2,prob
0.625,0.825,0.925,0.8705195105760513
0.375,0.825,0.925,0.10911174903754214
0.375,0.625,0.925,0.0017601931799831791
0.375,0.625,0.825,0.00036686787719352273
0.075,0.825,0.925,0.007539393293264241
0.075,0.625,0.925,0.000621401126398216
0.075,0.625,0.825,0.004313833555617867
0.075,0.375,0.925,0.0016211488875423322
0.075,0.375,0.825,0.0035787562574303355
0.075,0.375,0.625,0.0005671462089770467
