,model,lppd,pwaic2,elppd-waic
0,aa-hom,-233.04467835379728,158.92207354061668,783.9335037888279
1,mas-hom,-86.54363355638816,554.2579425397988,1281.603152192374
2,mas-het-simple,347.5194236490979,226.2146915074186,-242.60946428335865
3,mas-het-speakers,297.47557210127525,190.78921097419993,-213.37272225415063
4,rsa-hom,-151.9329836601819,125.87486593014128,555.6156991806463
5,rsa-het-simple,383.4120294370232,293.0585847910978,-180.70688929185076
6,rsa-het-speakers,397.4555439443038,274.6042130221372,-245.7026618443333
7,rsa-het-speakers-hi,421.81766118401174,315.3253303412596,-212.9846616855043
