model,score
rsa-het-speakers-hi,10.619396847557336
rsa-het-speakers,9.932540422882571
rsa-het-simple,8.938330532866496
mas-het-simple,7.8082918119864475
mas-het-speakers,6.56541036445428
rsa-hom,-17.8672785574411
aa-hom,-20.706894751465406
mas-hom,-20.709782440410073
