numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
0,3,0.525,0.475,0.5263157894736842,0.49999999999999994,0.07374733187948047,0.4981768607018599,True,0.4507453182960637
1,3,0.525,0.425,0.5263157894736842,0.49999999999999994,0.07374733187948047,0.4857620714636455,True,0.43833052905784925
2,3,0.525,0.375,0.5263157894736842,0.44444444444444425,0.07374733187948047,0.19790673568286501,True,0.20603074883262446
3,3,0.525,0.325,0.5263157894736842,0.388888888888889,0.07374733187948047,0.08624359932428832,True,0.14992316802960304
4,3,0.525,0.275,0.5263157894736842,0.33333333333333354,0.07374733187948047,0.04042786083732318,False,0.0
5,3,0.525,0.225,0.5263157894736842,0.27777777777777785,0.07374733187948047,0.019797407509612626,False,0.0
6,3,0.525,0.175,0.5263157894736842,0.2222222222222223,0.07374733187948047,0.009804725612781465,False,0.0
7,3,0.525,0.125,0.5263157894736842,0.16666666666666674,0.07374733187948047,0.004984581389712181,False,0.0
8,3,0.525,0.075,0.5263157894736842,0.11111111111111113,0.07374733187948047,0.0023853906188321967,False,0.0
9,3,0.525,0.025,0.5263157894736842,0.055555555555555615,0.07374733187948047,0.0009209944350795423,False,0.0
10,3,0.575,0.475,0.5672514619883041,0.49999999999999994,0.13576601538380645,0.5670398907302399,True,0.4985253373347376
11,3,0.575,0.425,0.5672514619883041,0.49999999999999994,0.13576601538380645,0.5623623185367042,True,0.4938477651412019
12,3,0.575,0.375,0.5672514619883041,0.44444444444444425,0.13576601538380645,0.23794998318841395,True,0.22499098534846737
13,3,0.575,0.325,0.5672514619883041,0.44444444444444425,0.13576601538380645,0.2365785351092533,True,0.22361953726930672
14,3,0.575,0.275,0.5672514619883041,0.388888888888889,0.13576601538380645,0.11349754216738847,False,0.0
15,3,0.575,0.225,0.5672514619883041,0.33333333333333354,0.13576601538380645,0.057758571322275035,False,0.0
16,3,0.575,0.175,0.5672514619883041,0.27777777777777785,0.13576601538380645,0.030198043358145944,False,0.0
17,3,0.575,0.125,0.5672514619883041,0.2222222222222223,0.13576601538380645,0.01576389454960877,False,0.0
18,3,0.575,0.075,0.5672514619883041,0.16666666666666674,0.13576601538380645,0.00835148036932478,False,0.0
19,3,0.575,0.025,0.5672514619883041,0.11111111111111113,0.13576601538380645,0.0041364929095529385,False,0.0
20,3,0.625,0.475,0.608187134502924,0.5555555555555552,0.2373173683099093,0.8677366181993518,True,0.6830508288368113
21,3,0.625,0.425,0.608187134502924,0.5555555555555552,0.2373173683099093,0.8647355262179491,True,0.6800497368554086
22,3,0.625,0.375,0.608187134502924,0.49999999999999994,0.2373173683099093,0.5462247733373687,True,0.41709453953038356
