numExp,agentBias,biasPrior,sampleMean,MAP_stick1_S1,MAP_stick2_S1,MAP_stick1_S2,MAP_stick2_S2,optProb_S1,optProb_S2,isOptMAP_S1,isOptMAP_S2
54,2.0,flat,0.5349999999999999,0.725,0.925,0.925,0.725,0.07999999999999999,0.13,False,True
55,2.0,v,0.44499999999999995,0.925,0.425,0.925,0.425,0.13,0.09000000000000002,False,False
56,5.0,flat,0.33499999999999996,0.525,0.475,0.475,0.525,0.32,0.07999999999999999,True,False
57,5.0,v,0.585,0.925,0.675,0.925,0.725,0.17,0.23,False,True
58,10.0,flat,0.40499999999999997,0.825,0.475,0.825,0.225,0.68,0.14,True,False
59,10.0,v,0.445,0.925,0.775,0.925,0.775,0.65,0.78,True,True
60,2.0,flat,0.635,0.925,0.875,0.775,0.925,0.17999999999999994,0.09000000000000002,True,False
61,2.0,v,0.475,0.975,0.475,0.975,0.525,0.13,0.15,False,True
62,5.0,flat,0.585,0.825,0.925,0.925,0.825,0.19,0.39,False,True
63,5.0,v,0.43499999999999994,0.875,0.525,0.325,0.525,0.39,0.15999999999999998,True,False
64,10.0,flat,0.24500000000000002,0.475,0.375,0.375,0.475,0.74,0.35,True,False
65,10.0,v,0.5050000000000001,0.925,0.625,0.925,0.625,0.6,0.69,True,True
66,2.0,flat,0.475,0.575,0.825,0.775,0.825,0.13,0.17,False,False
67,2.0,v,0.365,0.675,0.525,0.325,0.675,0.15,0.05,True,False
68,5.0,flat,0.385,0.825,0.525,0.825,0.525,0.49,0.17999999999999994,True,True
69,5.0,v,0.45499999999999996,0.775,0.675,0.775,0.675,0.4199999999999999,0.17,True,True
70,10.0,flat,0.465,0.975,0.625,0.975,0.625,0.65,0.84,True,True
71,10.0,v,0.495,0.925,0.625,0.925,0.625,0.68,0.7,True,True
72,2.0,flat,0.49499999999999994,0.675,0.625,0.475,0.625,0.12,0.07,True,False
73,2.0,v,0.625,0.875,0.775,0.825,0.775,0.09000000000000002,0.09000000000000002,False,False
74,5.0,flat,0.475,0.875,0.825,0.875,0.825,0.33,0.29999999999999993,True,True
75,5.0,v,0.6950000000000001,0.925,0.775,0.925,0.775,0.23,0.38,True,True
76,10.0,flat,0.5650000000000001,0.925,0.725,0.925,0.725,0.46,0.79,True,True
77,10.0,v,0.40499999999999997,0.725,0.675,0.475,0.675,0.53,0.07999999999999999,True,False
78,2.0,flat,0.445,0.875,0.325,0.875,0.325,0.12,0.07,False,False
79,2.0,v,0.465,0.825,0.575,0.825,0.575,0.12,0.10000000000000002,True,True
80,5.0,flat,0.595,0.875,0.725,0.875,0.725,0.26,0.39,True,True
81,5.0,v,0.34500000000000003,0.875,0.525,0.875,0.525,0.51,0.36,True,True
82,10.0,flat,0.635,0.975,0.875,0.975,0.875,0.3400000000000001,0.65,True,True
83,10.0,v,0.5549999999999999,0.775,0.725,0.775,0.725,0.25,0.41,True,True
84,2.0,flat,0.7250000000000001,0.975,0.925,0.975,0.925,0.13,0.15999999999999998,True,True
85,2.0,v,0.655,0.975,0.925,0.975,0.925,0.15,0.19,True,True
86,5.0,flat,0.5349999999999999,0.675,0.725,0.725,0.675,0.11,0.17999999999999994,False,True
87,5.0,v,0.8049999999999999,0.825,0.975,0.975,0.875,0.07999999999999999,0.25,False,True
88,10.0,flat,0.385,0.625,0.575,0.375,0.625,0.53,0.040000000000000015,True,False
89,10.0,v,0.43499999999999994,0.625,0.525,0.425,0.525,0.28,0.0,True,False
90,2.0,flat,0.38499999999999995,0.775,0.325,0.375,0.325,0.12,0.05,False,False
91,2.0,v,0.45499999999999996,0.925,0.575,0.925,0.575,0.15,0.14,True,True
92,5.0,flat,0.41500000000000004,0.675,0.475,0.475,0.675,0.26,0.020000000000000004,True,False
93,5.0,v,0.595,0.975,0.825,0.975,0.825,0.26,0.4,True,True
94,10.0,flat,0.40499999999999997,0.775,0.475,0.375,0.475,0.64,0.06,True,False
95,10.0,v,0.495,0.875,0.625,0.875,0.625,0.61,0.51,True,True
96,2.0,flat,0.44499999999999995,0.675,0.525,0.525,0.475,0.12,0.020000000000000004,True,False
97,2.0,v,0.535,0.775,0.675,0.975,0.675,0.11,0.10000000000000002,False,False
98,5.0,flat,0.565,0.975,0.525,0.975,0.575,0.17,0.22,False,True
99,5.0,v,0.49499999999999994,0.775,0.825,0.825,0.775,0.17,0.43,False,True
100,10.0,flat,0.595,0.925,0.625,0.925,0.625,0.29999999999999993,0.64,True,True
101,10.0,v,0.515,0.875,0.775,0.875,0.775,0.52,0.47,True,True
102,2.0,flat,0.545,0.875,0.925,0.925,0.875,0.17,0.2,False,True
103,2.0,v,0.495,0.925,0.775,0.925,0.775,0.2,0.17,True,True
104,5.0,flat,0.635,0.875,0.675,0.625,0.875,0.17,0.17,True,False
105,5.0,v,0.5549999999999999,0.975,0.875,0.975,0.875,0.43,0.46,True,True
106,10.0,flat,0.465,0.825,0.775,0.825,0.775,0.57,0.61,True,True
