numExp,agentBias,biasPrior,sampleMean,MAP_stick1_S1,MAP_stick2_S1,MAP_stick1_S2,MAP_stick2_S2,optProb_S1,optProb_S2,isOptMAP_S1,isOptMAP_S2
298,10.0,flat,0.7150000000000001,0.925,0.825,0.925,0.825,0.23,0.4199999999999999,True,True
299,10.0,v,0.5650000000000001,0.725,0.625,0.375,0.625,0.25,0.07999999999999999,True,False
300,2.0,flat,0.655,0.875,0.975,0.975,0.875,0.09000000000000002,0.15999999999999998,False,True
301,2.0,v,0.505,0.975,0.475,0.975,0.675,0.13,0.27,False,True
302,5.0,flat,0.5549999999999999,0.825,0.675,0.825,0.675,0.24,0.2,True,True
303,5.0,v,0.34500000000000003,0.875,0.525,0.875,0.525,0.54,0.21,True,True
304,10.0,flat,0.675,0.975,0.825,0.975,0.825,0.32,0.57,True,True
305,10.0,v,0.515,0.825,0.675,0.825,0.675,0.49,0.3400000000000001,True,True
306,2.0,flat,0.555,0.825,0.725,0.825,0.725,0.13,0.12,True,True
307,2.0,v,0.445,0.425,0.975,0.125,0.975,0.15,0.07999999999999999,False,False
308,5.0,flat,0.555,0.875,0.675,0.875,0.675,0.22,0.26,True,True
309,5.0,v,0.645,0.975,0.925,0.925,0.975,0.27,0.22,True,False
310,10.0,flat,0.7050000000000001,0.925,0.775,0.925,0.775,0.32,0.57,True,True
311,10.0,v,0.585,0.825,0.725,0.825,0.725,0.28,0.23,True,True
312,2.0,flat,0.225,0.375,0.525,0.375,0.525,0.19,0.17,False,False
313,2.0,v,0.585,0.875,0.525,0.875,0.775,0.13,0.13,False,True
314,5.0,flat,0.585,0.725,0.875,0.875,0.725,0.22,0.27,False,True
315,5.0,v,0.495,0.875,0.925,0.925,0.875,0.37,0.39,False,True
316,10.0,flat,0.595,0.925,0.775,0.925,0.775,0.41,0.61,True,True
317,10.0,v,0.5549999999999999,0.825,0.625,0.825,0.625,0.3400000000000001,0.41,True,True
318,2.0,flat,0.275,0.575,0.475,0.225,0.575,0.15,0.10000000000000002,True,False
319,2.0,v,0.575,0.525,0.875,0.875,0.725,0.06,0.15999999999999998,False,True
320,5.0,flat,0.525,0.975,0.675,0.975,0.625,0.33,0.31,True,False
321,5.0,v,0.41500000000000004,0.925,0.475,0.925,0.475,0.3400000000000001,0.27,True,True
322,10.0,flat,0.585,0.925,0.825,0.925,0.825,0.46,0.78,True,True
323,10.0,v,0.315,0.725,0.475,0.475,0.725,0.89,0.0,True,False
324,2.0,flat,0.515,0.625,0.875,0.625,0.875,0.07999999999999999,0.09000000000000002,False,False
325,2.0,v,0.675,0.675,0.975,0.975,0.825,0.10000000000000002,0.2,False,True
326,5.0,flat,0.31500000000000006,0.675,0.475,0.475,0.675,0.43,0.07999999999999999,True,False
327,5.0,v,0.475,0.825,0.775,0.825,0.775,0.31,0.23,True,True
328,10.0,flat,0.625,0.975,0.875,0.975,0.875,0.44,0.63,True,True
329,10.0,v,0.585,0.975,0.925,0.975,0.925,0.41,0.66,True,True
330,2.0,flat,0.44499999999999995,0.925,0.525,0.575,0.925,0.12,0.15999999999999998,False,False
331,2.0,v,0.485,0.575,0.975,0.975,0.575,0.14,0.2,False,True
332,5.0,flat,0.45499999999999996,0.775,0.575,0.775,0.575,0.17999999999999994,0.14,False,False
333,5.0,v,0.515,0.975,0.725,0.975,0.725,0.33,0.46,True,True
334,10.0,flat,0.38499999999999995,0.775,0.475,0.475,0.775,0.6,0.10000000000000002,True,False
335,10.0,v,0.545,0.975,0.825,0.975,0.825,0.66,0.83,True,True
336,2.0,flat,0.505,0.625,0.825,0.825,0.875,0.15999999999999998,0.09000000000000002,False,False
337,2.0,v,0.495,0.875,0.625,0.875,0.625,0.15,0.14,True,True
338,5.0,flat,0.45499999999999996,0.675,0.725,0.725,0.675,0.33,0.15,False,True
339,5.0,v,0.615,0.925,0.725,0.925,0.775,0.15,0.37,False,True
340,10.0,flat,0.575,0.925,0.675,0.925,0.675,0.29999999999999993,0.58,True,True
341,10.0,v,0.38499999999999995,0.775,0.675,0.775,0.675,0.73,0.37,True,True
342,2.0,flat,0.525,0.975,0.325,0.975,0.625,0.14,0.15999999999999998,False,True
343,2.0,v,0.545,0.825,0.975,0.975,0.825,0.12,0.25,False,True
344,5.0,flat,0.465,0.825,0.575,0.825,0.575,0.32,0.21,True,True
345,5.0,v,0.325,0.625,0.475,0.475,0.625,0.47,0.010000000000000005,True,False
346,10.0,flat,0.685,0.975,0.825,0.975,0.825,0.33,0.57,True,True
347,10.0,v,0.665,0.825,0.775,0.825,0.775,0.21,0.6,True,True
348,2.0,flat,0.525,0.875,0.775,0.775,0.875,0.19,0.09000000000000002,True,False
349,2.0,v,0.385,0.725,0.825,0.725,0.825,0.14,0.11,False,False
350,5.0,flat,0.505,0.825,0.875,0.825,0.875,0.15999999999999998,0.35,False,False
351,5.0,v,0.7150000000000001,0.875,0.825,0.825,0.875,0.12,0.19,True,False
352,10.0,flat,0.445,0.775,0.725,0.775,0.725,0.62,0.32,True,True
353,10.0,v,0.49499999999999994,0.825,0.775,0.825,0.775,0.33,0.5,True,True
354,2.0,flat,0.585,0.925,0.875,0.925,0.875,0.19,0.2,True,True
355,2.0,v,0.5349999999999999,0.925,0.725,0.925,0.725,0.17,0.15999999999999998,True,True
356,5.0,flat,0.515,0.875,0.775,0.875,0.775,0.22,0.38,True,True
357,5.0,v,0.5349999999999999,0.775,0.825,0.825,0.775,0.17999999999999994,0.27,False,True
358,10.0,flat,0.5450000000000002,0.925,0.725,0.925,0.725,0.5,0.72,True,True
359,10.0,v,0.465,0.925,0.725,0.925,0.725,0.63,0.91,True,True
360,2.0,flat,0.385,0.625,0.525,0.375,0.625,0.13,0.06,True,False
361,2.0,v,0.5549999999999999,0.825,0.675,0.825,0.675,0.12,0.13,True,True
362,5.0,flat,0.475,0.825,0.625,0.825,0.625,0.31,0.2,True,True
363,5.0,v,0.495,0.875,0.675,0.875,0.675,0.39,0.29999999999999993,True,True
364,10.0,flat,0.515,0.875,0.725,0.875,0.725,0.39,0.47,True,True
365,10.0,v,0.635,0.875,0.825,0.875,0.825,0.31,0.52,True,True
366,2.0,flat,0.5050000000000001,0.825,0.775,0.775,0.825,0.14,0.12,True,False
367,2.0,v,0.7449999999999999,0.925,0.875,0.925,0.875,0.11,0.15999999999999998,True,True
368,5.0,flat,0.505,0.675,0.775,0.775,0.675,0.22,0.17999999999999994,False,True
369,5.0,v,0.785,0.975,0.875,0.975,0.925,0.11,0.23,False,True
370,10.0,flat,0.41500000000000004,0.725,0.525,0.325,0.525,0.51,0.07999999999999999,True,False
371,10.0,v,0.615,0.875,0.725,0.875,0.725,0.29,0.45,True,True
372,2.0,flat,0.635,0.875,0.825,0.575,0.875,0.15,0.10000000000000002,True,False
373,2.0,v,0.31500000000000006,0.375,0.675,0.375,0.675,0.17999999999999994,0.05,False,False
374,5.0,flat,0.395,0.925,0.425,0.925,0.425,0.4,0.25,True,True
375,5.0,v,0.44499999999999995,0.775,0.825,0.825,0.775,0.29,0.29999999999999993,False,True
376,10.0,flat,0.505,0.875,0.725,0.875,0.725,0.64,0.74,True,True
377,10.0,v,0.41500000000000004,0.875,0.625,0.875,0.625,0.69,0.73,True,True
378,2.0,flat,0.505,0.875,0.825,0.825,0.875,0.2,0.13,True,False
379,2.0,v,0.615,0.925,0.775,0.925,0.775,0.17999999999999994,0.17999999999999994,True,True
380,5.0,flat,0.695,0.925,0.775,0.925,0.725,0.2,0.17,True,False
381,5.0,v,0.615,0.925,0.975,0.975,0.925,0.22,0.33,False,True
382,10.0,flat,0.39499999999999996,0.925,0.575,0.925,0.575,0.82,0.78,True,True
383,10.0,v,0.515,0.825,0.775,0.825,0.775,0.36,0.45,True,True
384,2.0,flat,0.465,0.875,0.975,0.975,0.875,0.2,0.24,False,True
385,2.0,v,0.545,0.675,0.925,0.925,0.525,0.13,0.040000000000000015,False,False
386,5.0,flat,0.475,0.975,0.625,0.975,0.625,0.4,0.39,True,True
387,5.0,v,0.355,0.775,0.475,0.275,0.475,0.5,0.029999999999999995,True,False
388,10.0,flat,0.385,0.675,0.475,0.475,0.675,0.65,0.06,True,False
389,10.0,v,0.515,0.975,0.675,0.975,0.675,0.67,0.78,True,True
390,2.0,flat,0.525,0.975,0.925,0.925,0.975,0.17999999999999994,0.15,True,False
391,2.0,v,0.5549999999999999,0.775,0.575,0.325,0.875,0.05,0.09000000000000002,False,False
392,5.0,flat,0.16499999999999998,0.375,0.225,0.375,0.225,0.51,0.44,True,True
393,5.0,v,0.44499999999999995,0.675,0.475,0.375,0.525,0.17,0.0,False,False
394,10.0,flat,0.40499999999999997,0.975,0.625,0.975,0.625,0.8,0.86,True,True
395,10.0,v,0.49499999999999994,0.825,0.775,0.325,0.375,0.57,0.2,True,False
396,2.0,flat,0.41500000000000004,0.625,0.825,0.625,0.825,0.13,0.13,False,False
397,2.0,v,0.365,0.875,0.375,0.875,0.075,0.23,0.07,True,False
398,5.0,flat,0.725,0.925,0.875,0.875,0.925,0.14,0.14,True,False
399,5.0,v,0.6449999999999999,0.925,0.675,0.925,0.875,0.15,0.27,False,True
400,10.0,flat,0.45499999999999996,0.725,0.675,0.725,0.675,0.4199999999999999,0.31,True,True
401,10.0,v,0.425,0.875,0.775,0.875,0.775,0.75,0.64,True,True
402,2.0,flat,0.45500000000000007,0.475,0.675,0.675,0.475,0.10000000000000002,0.07,False,False
403,2.0,v,0.515,0.575,0.675,0.325,0.575,0.11,0.05,False,False
404,5.0,flat,0.525,0.725,0.675,0.675,0.725,0.17999999999999994,0.11,True,False
405,5.0,v,0.34500000000000003,0.675,0.425,0.375,0.425,0.32,0.0,True,False
406,10.0,flat,0.375,0.875,0.425,0.875,0.425,0.56,0.29999999999999993,True,True
407,10.0,v,0.525,0.925,0.775,0.925,0.775,0.55,0.66,True,True
408,2.0,flat,0.40499999999999997,0.975,0.525,0.975,0.525,0.21,0.17999999999999994,True,True
409,2.0,v,0.615,0.875,0.675,0.725,0.875,0.10000000000000002,0.13,False,False
410,5.0,flat,0.6449999999999999,0.825,0.775,0.825,0.775,0.19,0.19,True,True
411,5.0,v,0.49499999999999994,0.825,0.625,0.375,0.475,0.25,0.15,True,False
412,10.0,flat,0.305,0.875,0.425,0.875,0.425,0.9,0.39,True,True
413,10.0,v,0.555,0.925,0.875,0.925,0.875,0.53,0.6,True,True
414,2.0,flat,0.38499999999999995,0.575,0.725,0.575,0.725,0.17,0.020000000000000004,False,False
415,2.0,v,0.515,0.975,0.775,0.975,0.775,0.17,0.21,True,True
416,5.0,flat,0.395,0.875,0.475,0.475,0.875,0.47,0.14,True,False
417,5.0,v,0.325,0.625,0.425,0.275,0.625,0.32,0.0,True,False
418,10.0,flat,0.36499999999999994,0.775,0.475,0.475,0.775,0.62,0.14,True,False
419,10.0,v,0.325,0.875,0.375,0.375,0.875,0.81,0.07999999999999999,True,False
420,2.0,flat,0.475,0.775,0.975,0.975,0.775,0.15,0.15,False,True
421,2.0,v,0.4149999999999999,0.775,0.475,0.475,0.525,0.14,0.020000000000000004,False,False
422,5.0,flat,0.43500000000000005,0.975,0.525,0.975,0.525,0.3400000000000001,0.33,True,True
423,5.0,v,0.555,0.925,0.875,0.925,0.875,0.25,0.43,True,True
424,10.0,flat,0.6549999999999999,0.925,0.825,0.925,0.825,0.29,0.46,True,True
425,10.0,v,0.345,0.825,0.475,0.825,0.025,0.88,0.05,True,False
426,2.0,flat,0.545,0.625,0.825,0.625,0.825,0.06,0.09000000000000002,False,False
427,2.0,v,0.655,0.925,0.875,0.875,0.925,0.12,0.07,True,False
428,5.0,flat,0.495,0.925,0.625,0.925,0.625,0.35,0.4199999999999999,True,True
429,5.0,v,0.475,0.825,0.775,0.825,0.775,0.29,0.35,True,True
430,10.0,flat,0.615,0.925,0.775,0.925,0.775,0.35,0.68,True,True
431,10.0,v,0.5750000000000001,0.725,0.675,0.275,0.625,0.17999999999999994,0.07,True,False
432,2.0,flat,0.395,0.875,0.425,0.475,0.875,0.15,0.09000000000000002,False,False
433,2.0,v,0.35500000000000004,0.525,0.575,0.375,0.525,0.15,0.06,False,False
434,5.0,flat,0.505,0.925,0.575,0.925,0.575,0.4,0.26,True,True
435,5.0,v,0.6549999999999999,0.925,0.625,0.925,0.675,0.13,0.28,False,True
436,10.0,flat,0.625,0.875,0.775,0.875,0.775,0.29,0.56,True,True
437,10.0,v,0.355,0.975,0.325,0.975,0.325,0.63,0.31,True,True
438,2.0,flat,0.6449999999999999,0.925,0.625,0.925,0.775,0.11,0.14,False,True
439,2.0,v,0.555,0.925,0.625,0.925,0.625,0.14,0.13,True,True
440,5.0,flat,0.23500000000000001,0.725,0.225,0.225,0.725,0.49,0.2,True,False
441,5.0,v,0.45500000000000007,0.825,0.625,0.825,0.625,0.29999999999999993,0.24,True,True
442,10.0,flat,0.475,0.725,0.525,0.525,0.725,0.52,0.029999999999999995,True,False
443,10.0,v,0.45500000000000007,0.925,0.775,0.925,0.775,0.69,0.83,True,True
444,2.0,flat,0.335,0.625,0.525,0.625,0.525,0.21,0.12,True,True
445,2.0,v,0.515,0.675,0.425,0.775,0.675,0.14,0.13,False,True
446,5.0,flat,0.45500000000000007,0.925,0.725,0.925,0.725,0.49,0.46,True,True
447,5.0,v,0.595,0.925,0.775,0.925,0.775,0.25,0.39,True,True
448,10.0,flat,0.575,0.975,0.875,0.975,0.875,0.32,0.47,True,True
449,10.0,v,0.495,0.975,0.725,0.975,0.725,0.69,0.91,True,True
450,2.0,flat,0.40499999999999997,0.975,0.375,0.975,0.125,0.2,0.10000000000000002,True,False
451,2.0,v,0.515,0.825,0.875,0.875,0.825,0.13,0.22,False,True
452,5.0,flat,0.595,0.975,0.875,0.975,0.875,0.29,0.41,True,True
453,5.0,v,0.585,0.925,0.875,0.925,0.875,0.25,0.31,True,True
454,10.0,flat,0.375,0.975,0.425,0.975,0.425,0.82,0.62,True,True
455,10.0,v,0.635,0.825,0.725,0.825,0.725,0.26,0.29,True,True
456,2.0,flat,0.6849999999999999,0.875,0.925,0.875,0.725,0.09000000000000002,0.07999999999999999,False,False
457,2.0,v,0.495,0.775,0.625,0.225,0.775,0.19,0.07,True,False
458,5.0,flat,0.325,0.575,0.525,0.525,0.575,0.51,0.07,True,False
459,5.0,v,0.615,0.775,0.675,0.325,0.575,0.14,0.14,False,False
460,10.0,flat,0.36500000000000005,0.925,0.425,0.925,0.425,0.77,0.5,True,True
461,10.0,v,0.465,0.925,0.575,0.925,0.575,0.53,0.64,True,True
462,2.0,flat,0.325,0.725,0.575,0.725,0.175,0.24,0.07,True,False
463,2.0,v,0.45499999999999996,0.675,0.575,0.675,0.125,0.15999999999999998,0.029999999999999995,True,False
464,5.0,flat,0.6050000000000001,0.875,0.925,0.875,0.925,0.15,0.2,False,False
465,5.0,v,0.425,0.825,0.625,0.825,0.625,0.41,0.21,True,True
466,10.0,flat,0.495,0.775,0.575,0.775,0.575,0.54,0.22,True,True
467,10.0,v,0.375,0.925,0.525,0.925,0.525,0.81,0.72,True,True
468,2.0,flat,0.575,0.925,0.875,0.925,0.875,0.15999999999999998,0.17999999999999994,True,True
469,2.0,v,0.375,0.375,0.825,0.375,0.425,0.15999999999999998,0.040000000000000015,False,False
470,5.0,flat,0.625,0.975,0.825,0.975,0.825,0.25,0.27,True,True
471,5.0,v,0.505,0.875,0.725,0.875,0.725,0.3400000000000001,0.32,True,True
472,10.0,flat,0.585,0.825,0.675,0.825,0.675,0.35,0.41,True,True
473,10.0,v,0.345,0.575,0.475,0.375,0.575,0.51,0.0,True,False
474,2.0,flat,0.325,0.675,0.425,0.275,0.675,0.25,0.07,True,False
475,2.0,v,0.605,0.875,0.525,0.425,0.525,0.07999999999999999,0.07999999999999999,False,False
476,5.0,flat,0.685,0.975,0.825,0.975,0.825,0.17999999999999994,0.24,True,True
477,5.0,v,0.45500000000000007,0.875,0.675,0.875,0.675,0.29,0.38,True,True
478,10.0,flat,0.465,0.875,0.525,0.875,0.525,0.72,0.36,True,True
479,10.0,v,0.5650000000000001,0.975,0.875,0.975,0.875,0.52,0.74,True,True
480,2.0,flat,0.595,0.875,0.575,0.625,0.875,0.040000000000000015,0.07,False,False
481,2.0,v,0.6250000000000001,0.975,0.925,0.975,0.925,0.12,0.15999999999999998,True,True
482,5.0,flat,0.785,0.975,0.925,0.975,0.925,0.15,0.2,True,True
483,5.0,v,0.485,0.775,0.725,0.775,0.725,0.3400000000000001,0.2,True,True
484,10.0,flat,0.485,0.925,0.575,0.925,0.575,0.55,0.65,True,True
485,10.0,v,0.425,0.825,0.575,0.825,0.575,0.48,0.35,True,True
486,2.0,flat,0.41500000000000004,0.775,0.575,0.375,0.575,0.17999999999999994,0.05,True,False
487,2.0,v,0.5850000000000001,0.675,0.875,0.875,0.625,0.07999999999999999,0.15,False,False
488,5.0,flat,0.655,0.775,0.975,0.975,0.775,0.15999999999999998,0.27,False,True
489,5.0,v,0.635,0.925,0.725,0.925,0.725,0.24,0.22,True,True
490,10.0,flat,0.385,0.925,0.475,0.925,0.475,0.81,0.56,True,True
491,10.0,v,0.615,0.975,0.925,0.975,0.925,0.55,0.55,True,True
492,2.0,flat,0.495,0.825,0.925,0.925,0.825,0.13,0.22,False,True
493,2.0,v,0.5650000000000001,0.625,0.875,0.875,0.725,0.07,0.17,False,True
494,5.0,flat,0.605,0.975,0.825,0.975,0.775,0.23,0.25,True,False
495,5.0,v,0.45499999999999996,0.775,0.575,0.325,0.525,0.3400000000000001,0.11,True,False
496,10.0,flat,0.6649999999999999,0.975,0.875,0.975,0.825,0.26,0.33,True,False
497,10.0,v,0.28500000000000003,0.875,0.325,0.325,0.875,0.76,0.040000000000000015,True,False
498,2.0,flat,0.525,0.825,0.725,0.225,0.675,0.14,0.11,True,False
499,2.0,v,0.595,0.875,0.775,0.875,0.775,0.13,0.12,True,True
500,5.0,flat,0.275,0.575,0.325,0.325,0.575,0.32,0.06,True,False
501,5.0,v,0.44499999999999995,0.925,0.525,0.925,0.525,0.3400000000000001,0.32,True,True
502,10.0,flat,0.625,0.925,0.875,0.925,0.875,0.39,0.55,True,True
503,10.0,v,0.205,0.575,0.225,0.225,0.575,0.85,0.07999999999999999,True,False
504,2.0,flat,0.475,0.775,0.725,0.775,0.725,0.2,0.15999999999999998,True,True
505,2.0,v,0.45500000000000007,0.725,0.925,0.925,0.725,0.15999999999999998,0.17,False,True
506,5.0,flat,0.305,0.475,0.525,0.275,0.525,0.29,0.14,False,False
507,5.0,v,0.505,0.975,0.675,0.975,0.675,0.3400000000000001,0.47,True,True
508,10.0,flat,0.575,0.925,0.675,0.925,0.675,0.45,0.6,True,True
509,10.0,v,0.655,0.975,0.875,0.975,0.875,0.29,0.4,True,True
510,2.0,flat,0.585,0.925,0.625,0.675,0.925,0.10000000000000002,0.06,False,False
511,2.0,v,0.525,0.975,0.625,0.975,0.625,0.12,0.15,False,False
512,5.0,flat,0.475,0.775,0.575,0.575,0.775,0.23,0.11,True,False
513,5.0,v,0.49499999999999994,0.875,0.575,0.875,0.575,0.29,0.25,True,True
514,10.0,flat,0.38499999999999995,0.775,0.525,0.775,0.525,0.55,0.2,True,True
515,10.0,v,0.4050000000000001,0.925,0.425,0.925,0.425,0.73,0.37,True,True
516,2.0,flat,0.525,0.975,0.575,0.875,0.975,0.15999999999999998,0.15,False,False
517,2.0,v,0.48500000000000004,0.975,0.525,0.975,0.525,0.15,0.11,True,True
518,5.0,flat,0.545,0.675,0.925,0.925,0.675,0.17,0.32,False,True
519,5.0,v,0.465,0.975,0.825,0.975,0.825,0.51,0.63,True,True
520,10.0,flat,0.41500000000000004,0.825,0.725,0.825,0.725,0.68,0.65,True,True
521,10.0,v,0.615,0.975,0.875,0.975,0.875,0.4,0.59,True,True
522,2.0,flat,0.32499999999999996,0.475,0.575,0.475,0.375,0.13,0.07999999999999999,False,False
523,2.0,v,0.645,0.775,0.875,0.875,0.725,0.10000000000000002,0.07,False,False
524,5.0,flat,0.43499999999999994,0.575,0.725,0.525,0.725,0.15999999999999998,0.05,False,False
525,5.0,v,0.5349999999999999,0.925,0.625,0.925,0.625,0.32,0.29,True,True
526,10.0,flat,0.355,0.975,0.325,0.975,0.275,0.49,0.35,True,False
527,10.0,v,0.425,0.975,0.625,0.975,0.625,0.83,0.91,True,True
528,2.0,flat,0.495,0.975,0.625,0.975,0.625,0.2,0.15,True,True
529,2.0,v,0.635,0.975,0.725,0.925,0.975,0.09000000000000002,0.14,False,False
530,5.0,flat,0.41500000000000004,0.925,0.675,0.925,0.675,0.48,0.57,True,True
531,5.0,v,0.385,0.825,0.475,0.325,0.475,0.35,0.05,True,False
532,10.0,flat,0.5349999999999999,0.975,0.525,0.975,0.525,0.52,0.47,True,True
533,10.0,v,0.40499999999999997,0.825,0.575,0.325,0.575,0.82,0.35,True,False
534,2.0,flat,0.475,0.675,0.575,0.375,0.675,0.14,0.07,True,False
535,2.0,v,0.595,0.775,0.725,0.925,0.775,0.07999999999999999,0.2,False,True
536,5.0,flat,0.615,0.975,0.875,0.975,0.875,0.29999999999999993,0.3400000000000001,True,True
537,5.0,v,0.795,0.975,0.775,0.975,0.825,0.13,0.15,False,False
538,10.0,flat,0.385,0.625,0.575,0.325,0.575,0.57,0.020000000000000004,True,False
539,10.0,v,0.575,0.925,0.825,0.925,0.825,0.38,0.59,True,True
540,2.0,flat,0.37499999999999994,0.825,0.725,0.825,0.725,0.21,0.19,True,True
541,2.0,v,0.555,0.925,0.725,0.925,0.725,0.14,0.17,True,True
542,5.0,flat,0.7649999999999999,0.975,0.925,0.925,0.975,0.15999999999999998,0.15,True,False
543,5.0,v,0.785,0.975,0.925,0.925,0.975,0.14,0.21,True,False
544,10.0,flat,0.465,0.925,0.625,0.925,0.625,0.6,0.82,True,True
545,10.0,v,0.465,0.925,0.775,0.925,0.775,0.74,0.69,True,True
546,2.0,flat,0.475,0.525,0.625,0.325,0.475,0.09000000000000002,0.029999999999999995,False,False
547,2.0,v,0.36500000000000005,0.725,0.525,0.125,0.725,0.19,0.020000000000000004,True,False
548,5.0,flat,0.485,0.925,0.725,0.925,0.725,0.28,0.54,True,True
549,5.0,v,0.285,0.575,0.475,0.475,0.575,0.46,0.029999999999999995,True,False
550,10.0,flat,0.655,0.975,0.725,0.975,0.725,0.4199999999999999,0.52,True,True
551,10.0,v,0.43499999999999994,0.925,0.675,0.925,0.675,0.83,0.8,True,True
552,2.0,flat,0.555,0.925,0.875,0.875,0.925,0.17,0.17,True,False
553,2.0,v,0.43499999999999994,0.925,0.625,0.925,0.625,0.25,0.19,True,True
554,5.0,flat,0.495,0.875,0.825,0.875,0.825,0.41,0.32,True,True
555,5.0,v,0.5549999999999999,0.875,0.725,0.875,0.725,0.21,0.28,True,True
556,10.0,flat,0.305,0.775,0.475,0.475,0.775,0.93,0.17,True,False
557,10.0,v,0.44499999999999995,0.675,0.525,0.325,0.525,0.4199999999999999,0.0,True,False
558,2.0,flat,0.465,0.875,0.925,0.925,0.875,0.15999999999999998,0.24,False,True
559,2.0,v,0.555,0.925,0.725,0.375,0.575,0.15999999999999998,0.14,True,False
560,5.0,flat,0.49499999999999994,0.625,0.575,0.375,0.575,0.14,0.06,True,False
561,5.0,v,0.325,0.575,0.425,0.325,0.575,0.25,0.0,True,False
562,10.0,flat,0.605,0.875,0.725,0.875,0.725,0.33,0.54,True,True
563,10.0,v,0.395,0.725,0.525,0.375,0.525,0.7,0.0,True,False
564,2.0,flat,0.255,0.325,0.475,0.275,0.475,0.15,0.13,False,False
565,2.0,v,0.585,0.925,0.775,0.925,0.775,0.15999999999999998,0.14,True,True
566,5.0,flat,0.555,0.925,0.875,0.925,0.875,0.23,0.27,True,True
567,5.0,v,0.485,0.925,0.725,0.925,0.725,0.45,0.45,True,True
568,10.0,flat,0.44499999999999995,0.825,0.575,0.825,0.575,0.57,0.41,True,True
569,10.0,v,0.575,0.925,0.875,0.925,0.875,0.33,0.49,True,True
570,2.0,flat,0.6849999999999999,0.925,0.675,0.925,0.775,0.09000000000000002,0.12,False,True
571,2.0,v,0.355,0.425,0.875,0.425,0.875,0.15,0.029999999999999995,False,False
572,5.0,flat,0.48500000000000004,0.775,0.675,0.775,0.675,0.29,0.17,True,True
573,5.0,v,0.5449999999999999,0.825,0.625,0.825,0.625,0.2,0.24,True,True
574,10.0,flat,0.34500000000000003,0.825,0.525,0.825,0.525,0.93,0.47,True,True
575,10.0,v,0.5349999999999999,0.825,0.775,0.375,0.525,0.5,0.25,True,False
576,2.0,flat,0.5650000000000001,0.875,0.775,0.875,0.775,0.17,0.19,True,True
577,2.0,v,0.605,0.975,0.925,0.975,0.925,0.17,0.19,True,True
578,5.0,flat,0.34500000000000003,0.675,0.575,0.575,0.675,0.47,0.05,True,False
579,5.0,v,0.615,0.975,0.825,0.975,0.875,0.2,0.28,False,True
580,10.0,flat,0.625,0.825,0.775,0.825,0.775,0.28,0.31,True,True
581,10.0,v,0.475,0.875,0.725,0.875,0.725,0.72,0.57,True,True
582,2.0,flat,0.525,0.925,0.975,0.975,0.925,0.11,0.24,False,True
583,2.0,v,0.635,0.825,0.775,0.825,0.775,0.09000000000000002,0.17999999999999994,True,True
584,5.0,flat,0.555,0.825,0.775,0.825,0.775,0.27,0.32,True,True
585,5.0,v,0.585,0.825,0.725,0.825,0.725,0.29,0.26,True,True
586,10.0,flat,0.425,0.725,0.575,0.425,0.575,0.53,0.17,True,False
587,10.0,v,0.575,0.775,0.675,0.325,0.475,0.26,0.07,True,False
588,2.0,flat,0.23500000000000001,0.625,0.275,0.275,0.625,0.22,0.010000000000000005,True,False
589,2.0,v,0.515,0.875,0.625,0.225,0.625,0.10000000000000002,0.10000000000000002,False,False
590,5.0,flat,0.6849999999999999,0.875,0.925,0.925,0.875,0.12,0.21,False,True
591,5.0,v,0.5349999999999999,0.825,0.725,0.825,0.725,0.27,0.22,True,True
592,10.0,flat,0.625,0.925,0.825,0.925,0.825,0.29999999999999993,0.48,True,True
593,10.0,v,0.355,0.825,0.375,0.325,0.375,0.6,0.020000000000000004,True,False
594,2.0,flat,0.355,0.775,0.425,0.425,0.275,0.15,0.06,True,False
595,2.0,v,0.645,0.875,0.525,0.525,0.875,0.07999999999999999,0.10000000000000002,False,False
596,5.0,flat,0.635,0.925,0.775,0.925,0.825,0.15,0.29,False,True
597,5.0,v,0.425,0.675,0.575,0.375,0.675,0.3400000000000001,0.0,True,False
598,10.0,flat,0.45499999999999996,0.725,0.625,0.625,0.725,0.39,0.17999999999999994,True,False
599,10.0,v,0.465,0.875,0.625,0.875,0.625,0.7,0.43,True,True
600,2.0,flat,0.255,0.525,0.325,0.325,0.525,0.21,0.05,True,False
601,2.0,v,0.495,0.875,0.625,0.325,0.625,0.14,0.11,True,False
602,5.0,flat,0.5650000000000001,0.925,0.825,0.925,0.825,0.31,0.43,True,True
603,5.0,v,0.675,0.875,0.975,0.975,0.875,0.17,0.41,False,True
604,10.0,flat,0.515,0.925,0.875,0.925,0.875,0.49,0.64,True,True
605,10.0,v,0.43499999999999994,0.775,0.525,0.375,0.525,0.58,0.010000000000000005,True,False
606,2.0,flat,0.365,0.575,0.625,0.475,0.575,0.15999999999999998,0.06,False,False
607,2.0,v,0.495,0.925,0.975,0.975,0.925,0.13,0.22,False,True
608,5.0,flat,0.495,0.775,0.675,0.775,0.675,0.29999999999999993,0.24,True,True
609,5.0,v,0.625,0.975,0.825,0.975,0.825,0.28,0.36,True,True
610,10.0,flat,0.5650000000000001,0.825,0.775,0.825,0.775,0.58,0.43,True,True
611,10.0,v,0.575,0.825,0.725,0.825,0.725,0.35,0.47,True,True
612,2.0,flat,0.34500000000000003,0.625,0.475,0.425,0.625,0.19,0.07999999999999999,True,False
