isLong,bias0,bias1,prob
long,-5,-5,0.010982576820868752
long,-5,5,0.010982576820868752
long,-5,0,0.002440572626859726
long,5,-5,0.17581234316048627
long,5,5,0.17581234316048627
long,5,0,0.039069409591219045
long,0,-5,0.02471136621101894
long,0,5,0.02471136621101894
long,0,0,0.005491414713559762
short,-5,-5,0.00016904222248604765
short,-5,5,0.00016904222248604765
short,-5,0,0.000037564938330232926
short,5,-5,0.22868429192189726
short,5,5,0.22868429192189726
short,5,0,0.05081873153819945
short,0,-5,0.009640379663242542
short,0,5,0.009640379663242542
short,0,0,0.002142306591831675
