isLong,bias0,bias1,prob
long,-5,-5,0.008733433448425906
long,-5,5,0.008733433448425906
long,-5,0,0.0019407629885390928
long,5,-5,0.21401255428823357
long,5,5,0.21401255428823357
long,5,0,0.047558345397385716
long,0,-5,0.022563925719929614
long,0,5,0.022563925719929614
long,0,0,0.005014205715539911
short,-5,-5,0.00004123133776325814
short,-5,5,0.00004123133776325814
short,-5,0,0.000009162519502946166
short,5,-5,0.1980796110087051
short,5,5,0.1980796110087051
short,5,0,0.04401769133526821
short,0,-5,0.006569244196941562
short,0,5,0.006569244196941562
short,0,0,0.0014598320437647907
