isLong,bias0,bias1,prob
long,-5,-5,0.26479898433462923
long,-5,5,0.26479898433462923
long,-5,0,0.058844218741029464
long,5,-5,0.0040037767153008235
long,5,5,0.0040037767153008235
long,5,0,0.000889728158955738
long,0,-5,0.018899527199553554
long,0,5,0.018899527199553554
long,0,0,0.004199894933234121
short,-5,-5,0.06416526050090417
short,-5,5,0.06416526050090417
short,-5,0,0.014258946777978721
short,5,-5,0.0708582832550474
short,5,5,0.0708582832550474
short,5,0,0.01574628516778833
short,0,-5,0.027274167994565172
short,0,5,0.027274167994565172
short,0,0,0.00606092622101448
