param,val,prob
J0nSticks,5,0.9153
J1agentBias,6.944780562350422,0.0007
J1nSticks,5,0.9998
groupWeight-J0-0.2,0.17677863926543513,0.0018000000000000002
groupWeight-J0-0.4,0.0033343062049745547,0.0018000000000000002
groupWeight-J0-0.7,0.3120118904210673,0.0024000000000000002
groupWeight-J0-0.8,0.20997518701537254,0.0036000000000000003
groupWeight-J0-0.9,0.11855845775788884,0.0066
groupWeight-J1-0.2,0.0003724604086583277,0.0018000000000000002
groupWeight-J1-0.4,0.4369475396251599,0.0018000000000000002
groupWeight-J1-0.7,0.0007512973889594747,0.0024000000000000002
groupWeight-J1-0.8,0.2881620139950037,0.0036000000000000003
groupWeight-J1-0.9,0.6124089610804948,0.0066
groupWeight-noise-0.2,0.8228489003259066,0.0018000000000000002
groupWeight-noise-0.4,0.5597181541698655,0.0018000000000000002
groupWeight-noise-0.7,0.6872368121899732,0.0024000000000000002
groupWeight-noise-0.8,0.5018627989896237,0.0036000000000000003
groupWeight-noise-0.9,0.26903258116161627,0.0066
logitSigma,0.1276602527038628,0.021500000000000002
