param,val,prob
J0nSticks,3,0.0031000000000000003
J0nSticks,4,0.0816
J0nSticks,5,0.9153
J1agentBias,3.5119016976788404,0.0001
J1agentBias,3.5248536071645717,0.0001
J1agentBias,3.610918591683455,0.0001
J1agentBias,3.988735125674193,0.0001
J1agentBias,3.9977604982787986,0.00030000000000000003
J1agentBias,4.093774346482939,0.0001
J1agentBias,4.193301366517947,0.0001
J1agentBias,4.323156326059479,0.0001
J1agentBias,4.455737455807517,0.0001
J1agentBias,4.459396426216557,0.0001
J1agentBias,4.503393006032001,0.0001
J1agentBias,4.548579633853219,0.0002
J1agentBias,4.625526597704155,0.0001
J1agentBias,4.773006651240908,0.0002
J1agentBias,4.821516449849998,0.0001
J1agentBias,4.910214660554498,0.0001
J1agentBias,4.94787854502349,0.0001
J1agentBias,5.013520136741537,0.0001
J1agentBias,5.039444493341579,0.0001
J1agentBias,5.122665853791656,0.0001
J1agentBias,5.131383109471914,0.0001
J1agentBias,5.220504193205886,0.0001
J1agentBias,5.243077832867769,0.0001
J1agentBias,5.28101123821947,0.0002
J1agentBias,5.308981177753071,0.0001
J1agentBias,5.335680954390939,0.0001
J1agentBias,5.4003362015454375,0.0001
J1agentBias,5.428176932339486,0.0001
J1agentBias,5.524139085141636,0.0001
J1agentBias,5.546398668599508,0.0001
J1agentBias,5.630011199771848,0.0001
J1agentBias,5.668050463321068,0.0001
J1agentBias,5.723224612008695,0.0001
J1agentBias,5.730081576318357,0.0002
J1agentBias,5.791009585573705,0.0001
J1agentBias,5.840769978742108,0.0002
J1agentBias,5.841610371169463,0.0001
J1agentBias,5.925016504741759,0.0001
J1agentBias,5.939554102029818,0.0001
J1agentBias,5.9745236035222815,0.0001
J1agentBias,5.986739027531192,0.00030000000000000003
J1agentBias,5.999712897299485,0.0001
J1agentBias,6.011718887018572,0.0001
J1agentBias,6.036988982841343,0.0001
J1agentBias,6.044396472021001,0.0001
J1agentBias,6.068509370500838,0.0001
J1agentBias,6.0875294554164245,0.0001
J1agentBias,6.109391511548545,0.0001
J1agentBias,6.115704012376817,0.0001
J1agentBias,6.116378622095376,0.0001
J1agentBias,6.15624106990764,0.0001
J1agentBias,6.161302961269413,0.0001
J1agentBias,6.168662806447217,0.0002
J1agentBias,6.180449532686799,0.0001
J1agentBias,6.185282419297472,0.0001
J1agentBias,6.197238500090684,0.0001
J1agentBias,6.222491511880918,0.0002
J1agentBias,6.223388344899755,0.0002
J1agentBias,6.229523280536601,0.0002
J1agentBias,6.229784540365145,0.0002
J1agentBias,6.289868325175281,0.0001
J1agentBias,6.3113603700621725,0.0002
J1agentBias,6.337951629539788,0.00030000000000000003
J1agentBias,6.341368563905622,0.0001
J1agentBias,6.341945106857063,0.0001
J1agentBias,6.38664462373036,0.0001
J1agentBias,6.403669444538973,0.0001
J1agentBias,6.415478059316055,0.0001
