,param,val,prob
0,J0-nSticks,5,0.9999999999999176
1,J1-agentBias,0.0022344365448564345,0.00025000000000000006
2,J1-agentBias,0.01780539780560998,0.00025000000000000006
3,J1-agentBias,0.030068350495697074,0.00025000000000000006
4,J1-agentBias,0.031011077488595388,0.00025000000000000006
5,J1-agentBias,0.032936254082551984,0.00025000000000000006
6,J1-agentBias,0.043950656652777545,0.00025000000000000006
7,J1-agentBias,0.047521321763103884,0.0005000000000000001
8,J1-agentBias,0.04861990369883582,0.00025000000000000006
9,J1-agentBias,0.052472994222448804,0.00025000000000000006
10,J1-agentBias,0.06619003824963152,0.00025000000000000006
11,J1-agentBias,0.08307259862478482,0.00025000000000000006
12,J1-agentBias,0.0863091608940129,0.00025000000000000006
13,J1-agentBias,0.12623298891739868,0.00025000000000000006
14,J1-agentBias,0.132262882666828,0.00025000000000000006
15,J1-agentBias,0.133202586070376,0.00025000000000000006
16,J1-agentBias,0.13664809630210797,0.00025000000000000006
17,J1-agentBias,0.16211109987552216,0.00025000000000000006
18,J1-agentBias,0.16710407766231616,0.00025000000000000006
19,J1-agentBias,0.17100928984519242,0.00025000000000000006
20,J1-agentBias,0.20426402704621308,0.00025000000000000006
21,J1-agentBias,0.212420241363665,0.00025000000000000006
22,J1-agentBias,0.21246882024367741,0.00025000000000000006
23,J1-agentBias,0.21319564337263436,0.00025000000000000006
24,J1-agentBias,0.21460901029886276,0.00025000000000000006
25,J1-agentBias,0.2155834624316626,0.00025000000000000006
26,J1-agentBias,0.23112652496408678,0.00025000000000000006
27,J1-agentBias,0.23370282448900703,0.00025000000000000006
28,J1-agentBias,0.23476476510002856,0.00025000000000000006
29,J1-agentBias,0.23615277517212904,0.00025000000000000006
30,J1-agentBias,0.239728764723728,0.00025000000000000006
31,J1-agentBias,0.24190285247964208,0.00025000000000000006
32,J1-agentBias,0.24392642374865278,0.00025000000000000006
33,J1-agentBias,0.24637838787820315,0.00025000000000000006
34,J1-agentBias,0.2502874891761866,0.00025000000000000006
35,J1-agentBias,0.2579216409109559,0.00025000000000000006
36,J1-agentBias,0.25922179229422854,0.00025000000000000006
37,J1-agentBias,0.25923627846337316,0.00025000000000000006
38,J1-agentBias,0.2619539642753634,0.00025000000000000006
39,J1-agentBias,0.2723487944412891,0.00025000000000000006
40,J1-agentBias,0.2744531571826953,0.00025000000000000006
41,J1-agentBias,0.27530313914511106,0.00025000000000000006
42,J1-agentBias,0.28305162272355255,0.00025000000000000006
43,J1-agentBias,0.2858761451946601,0.00025000000000000006
44,J1-agentBias,0.2957308123510089,0.00025000000000000006
45,J1-agentBias,0.2972073415679617,0.00025000000000000006
46,J1-agentBias,0.30071963681634273,0.00025000000000000006
47,J1-agentBias,0.302379107566166,0.00025000000000000006
48,J1-agentBias,0.3037711791650568,0.00025000000000000006
49,J1-agentBias,0.31328913453145246,0.00025000000000000006
50,J1-agentBias,0.31448479362255716,0.00025000000000000006
51,J1-agentBias,0.31796407499370594,0.00025000000000000006
52,J1-agentBias,0.32293162836062905,0.00025000000000000006
53,J1-agentBias,0.326567865939173,0.00025000000000000006
54,J1-agentBias,0.3326099959409309,0.00025000000000000006
55,J1-agentBias,0.3337389815318657,0.00025000000000000006
56,J1-agentBias,0.35895396673635566,0.00025000000000000006
57,J1-agentBias,0.3677404197240311,0.00025000000000000006
58,J1-agentBias,0.3709185289807261,0.00025000000000000006
59,J1-agentBias,0.38813242252931235,0.00025000000000000006
60,J1-agentBias,0.38951847344850415,0.00025000000000000006
61,J1-agentBias,0.407323145471078,0.00025000000000000006
62,J1-agentBias,0.4123121759080784,0.00025000000000000006
63,J1-agentBias,0.4129111176263003,0.00025000000000000006
64,J1-agentBias,0.41478594374010225,0.00025000000000000006
65,J1-agentBias,0.4331347974710622,0.00025000000000000006
66,J1-agentBias,0.43529526617628644,0.00025000000000000006
67,J1-agentBias,0.4376368412987223,0.00025000000000000006
68,J1-agentBias,0.44061024520611813,0.00025000000000000006
69,J1-agentBias,0.4453721755463508,0.00025000000000000006
70,J1-agentBias,0.4456509075391634,0.00025000000000000006
71,J1-agentBias,0.4638638951594546,0.00025000000000000006
72,J1-agentBias,0.4705826243976766,0.00025000000000000006
73,J1-agentBias,0.47595124621106294,0.00025000000000000006
74,J1-agentBias,0.48284690034431305,0.00025000000000000006
75,J1-agentBias,0.48584355147893354,0.00025000000000000006
76,J1-agentBias,0.4891066457572746,0.00025000000000000006
77,J1-agentBias,0.4900931924188163,0.00025000000000000006
78,J1-agentBias,0.4911440973401797,0.00025000000000000006
79,J1-agentBias,0.49139528980375663,0.00025000000000000006
80,J1-agentBias,0.5044379832870786,0.00025000000000000006
81,J1-agentBias,0.5083245513360732,0.00025000000000000006
82,J1-agentBias,0.5087432958494554,0.00025000000000000006
83,J1-agentBias,0.5087921262130956,0.00025000000000000006
84,J1-agentBias,0.5108487344351138,0.00025000000000000006
85,J1-agentBias,0.5139151347736743,0.0005000000000000001
86,J1-agentBias,0.5188326269481126,0.00025000000000000006
87,J1-agentBias,0.5205543704233179,0.00025000000000000006
88,J1-agentBias,0.5221285376913043,0.00025000000000000006
89,J1-agentBias,0.5226691252398119,0.00025000000000000006
90,J1-agentBias,0.5238524843820085,0.00025000000000000006
91,J1-agentBias,0.5276014295787558,0.00025000000000000006
92,J1-agentBias,0.5308821357130853,0.00025000000000000006
93,J1-agentBias,0.5329592986229152,0.00025000000000000006
94,J1-agentBias,0.534300261167961,0.00025000000000000006
95,J1-agentBias,0.5353964376445071,0.00025000000000000006
