0,1,prob
0.725,0.675,0.05
0.675,0.725,0.06
0.475,0.675,0.04000000000000001
0.225,0.475,0.020000000000000004
0.875,0.675,0.11000000000000001
0.875,0.475,0.029999999999999995
0.225,0.725,0.010000000000000005
0.725,0.475,0.04000000000000001
0.675,0.475,0.04000000000000001
0.225,0.875,0.029999999999999995
0.875,0.725,0.14
0.725,0.875,0.07
0.475,0.875,0.07
0.225,0.675,0.04000000000000001
0.475,0.225,0.04000000000000001
0.875,0.225,0.04000000000000001
0.675,0.225,0.029999999999999995
0.725,0.225,0.05
0.475,0.725,0.020000000000000004
0.675,0.875,0.07
