0,1,prob
0.425,0.475,0.029999999999999995
0.475,0.325,0.05
0.325,0.475,0.07999999999999999
0.625,0.425,0.06
0.475,0.425,0.07
0.425,0.625,0.07999999999999999
0.475,0.525,0.06
0.425,0.325,0.06
0.525,0.475,0.07
0.425,0.525,0.05
0.325,0.625,0.06
0.625,0.525,0.029999999999999995
0.325,0.525,0.05
0.525,0.325,0.010000000000000005
0.475,0.625,0.07999999999999999
0.625,0.325,0.029999999999999995
0.625,0.475,0.05
0.525,0.625,0.020000000000000004
0.325,0.425,0.04000000000000001
0.525,0.425,0.020000000000000004
