0,1,prob
0.825,0.775,0.28
0.775,0.325,0.010000000000000005
0.775,0.825,0.11000000000000001
0.775,0.625,0.06
0.375,0.325,0.020000000000000004
0.625,0.775,0.05
0.375,0.775,0.05
0.325,0.825,0.029999999999999995
0.325,0.375,0.020000000000000004
0.375,0.625,0.029999999999999995
0.325,0.775,0.029999999999999995
0.325,0.625,0.07999999999999999
0.625,0.375,0.020000000000000004
0.375,0.825,0.07
0.625,0.825,0.05
0.825,0.325,0.029999999999999995
0.625,0.325,0.020000000000000004
0.775,0.375,0.020000000000000004
0.825,0.625,0.020000000000000004
