stat,isLong,bias0,bias1,prob
0.9249999999999999,long,10,-10,0
0.9083333333333333,long,10,-10,0
0.8916666666666666,long,10,-10,0
0.875,long,10,-10,0
0.8916666666666667,long,10,-10,0
0.8583333333333334,long,10,-10,0
0.8416666666666668,long,10,-10,0
0.8250000000000001,long,10,-10,0
0.8416666666666667,long,10,-10,0
0.8249999999999998,long,10,-10,0
0.8083333333333332,long,10,-10,0
0.7916666666666666,long,10,-10,0
0.775,long,10,-10,0
0.8083333333333335,long,10,-10,0
0.7583333333333334,long,10,-10,0
0.7583333333333333,long,10,-10,0
0.7416666666666666,long,10,-10,0
0.725,long,10,-10,0
0.7416666666666667,long,10,-10,0
0.7083333333333334,long,10,-10,0
0.6916666666666668,long,10,-10,0
0.6749999999999999,long,10,-10,0
0.6916666666666665,long,10,-10,0
0.6583333333333333,long,10,-10,0.01873836058719133
0.6416666666666666,long,10,-10,0
0.625,long,10,-10,0.03236458681069777
0.7250000000000001,long,10,-10,0
0.6750000000000002,long,10,-10,0
0.6416666666666667,long,10,-10,0.02427528166640224
0.6083333333333333,long,10,-10,0
0.6083333333333334,long,10,-10,0
0.5916666666666667,long,10,-10,0.05301272591573873
0.5750000000000001,long,10,-10,0
0.6249999999999999,long,10,-10,0
0.575,long,10,-10,0.06194398380419635
0.5583333333333332,long,10,-10,0
0.5583333333333333,long,10,-10,0.06927664988380627
0.5416666666666666,long,10,-10,0.07469306741261962
0.525,long,10,-10,0.07880325128268133
0.5083333333333333,long,10,-10,0.0811385848760304
0.49166666666666664,short,10,-10,0.08254545962772353
0.4749999999999999,short,10,-10,0.08280460577338544
0.4916666666666667,short,10,-10,0
0.4583333333333333,short,10,-10,0.08181914928133135
0.47500000000000003,short,10,-10,0
0.4416666666666667,short,10,-10,0
0.425,short,10,-10,0.07709469194809856
0.5083333333333334,long,10,-10,0
0.44166666666666665,short,10,-10,0.08189024356091175
0.4083333333333334,short,10,-10,0.06372716715500139
0.3916666666666666,short,10,-10,0
0.375,short,10,-10,0.021550485830786358
0.39166666666666666,short,10,-10,0
0.35833333333333334,short,10,-10,0.009877834076329733
0.42500000000000004,short,10,-10,0
0.3583333333333334,short,10,-10,0
0.34166666666666673,short,10,-10,0
0.325,short,10,-10,0
0.3416666666666666,short,10,-10,0.0044438705070678096
0.30833333333333335,short,10,-10,0
0.2916666666666667,short,10,-10,0
0.27499999999999997,short,10,-10,0
0.40833333333333327,short,10,-10,0
0.25833333333333336,short,10,-10,0
0.2416666666666667,short,10,-10,0
0.225,short,10,-10,0
0.3083333333333333,short,10,-10,0
0.2583333333333333,short,10,-10,0
0.24166666666666667,short,10,-10,0
0.20833333333333334,short,10,-10,0
0.19166666666666665,short,10,-10,0
0.17500000000000002,short,10,-10,0
0.15833333333333333,short,10,-10,0
0.15833333333333335,short,10,-10,0
0.1416666666666667,short,10,-10,0
0.125,short,10,-10,0
0.275,short,10,-10,0
0.22499999999999998,short,10,-10,0
0.14166666666666666,short,10,-10,0
0.10833333333333332,short,10,-10,0
0.10833333333333334,short,10,-10,0
0.09166666666666667,short,10,-10,0
0.075,short,10,-10,0
